https://www.pasteur.fr/sites/default/files/veng_0.pdf

    Fareham 1,3,19 r,i l,w
    Farmingdale 43 z4,z23 [1,2]
    Farmsen 13,23 z 1,6
    Farsta 4,12 i e,n,x
    Fass 50 l,v 1,2
    Fayed 6,8 l,w 1,2
    Fehrbellin 47 z4,z23 1,6
    Ferlo 41 k 1,6
    Ferruch 8 e,h 1,5
    Fillmore 6,8 e,h e,n,x
    Finaghy 4,12 y 1,6
    Findorff 11 d z6
    Finkenwerder [1],6,14,[25] d 1,5
    Fischerhuette 16 a e,n,z15
    124/166
    Fischerkietz 1,6,14,25 y e,n,x
    Fischerstrasse 44 d e,n,z15
    Fitzroy 48 e,h 1,5
    Florian 3,{10}{15} z4,z24 –
    Florida [1],6,14,[25] d 1,7
    Flottbek 52 b e,n,x
    Fluntern 6,14,18 b 1,5
    Fomeco 45 b e,n,z15
    Fortlamy 16 z 1,6
    Fortune 1,4,12,[27] z10 z6
    Franken 9,12 z6 z67
    Frankfurt 16 i e,n,z15
    Frederiksberg 1,42 b l,w
    Freefalls 28 b l,w
    Freetown 38 y 1,5
    Freiburg 3,10 l,z13 1,2
    Fresno 9,46 z38 –
    Friedenau 13,22 d 1,6
    Friedrichsfelde 28 f,g –
    Frintrop 1,9,12 b 1,5
    Fufu 3,10 z 1,5
    Fulda 1,3,19 l,w 1,5
    Fulica 4,[5],12 a -
    Fyris 4,[5],12 l,v 1,2
    G
    Gabon 6,7 l,w 1,2
    Gafsa 16 c 1,6
    Gaillac 8,20 c 1,5
    Galiema 6,7,14 k 1,2
    Galil 3,10 a e,n,z15
    Gallen 11 a 1,2
    Gallinarum 1,9,12 – –
    Gamaba 1,44 g,m,[s] [1,6]
    125/166
    Gambaga 21 z35 e,n,z15
    Gambia 35 i e,n,z15
    Gaminara 16 d 1,7
    Garba 1,6,14,25 a 1,5
    Garoli 6,7 i 1,6
    Gassi 35 e,h z6
    Gateshead 9,46 g,s,t –
    Gatineau 1,3,19 y 1,5
    Gatow 6,7 y 1,7
    Gatuni 6,8 b e,n,x
    Gbadago 3,{10}{15} c 1,5
    Gdansk 6,7,14 l,v z6
    Gege 30 r 1,5
    Georgia 6,7 b e,n,z15
    Gera 1,42 z4,z23 1,6
    Geraldton 9,46 l,v 1,6
    Gerland 16 z 1,5
    Ghana 21 b 1,6
    Giessen 30 g,m,s –
    Give 3,{10}{15}{15,34} l,v 1,7 [d]
    Giza 8,20 y 1,2
    Glasgow 16 b 1,6
    Glidji 11 l,w 1,5
    Glostrup 6,8 z10 e,n,z15
    Gloucester 1,4,12,27 i l,w
    Gnesta 1,3,19 b 1,5 [z37]
    Godesberg 30 g,m,[t] –
    Goelzau 3,{10}{15} a 1,5
    Goeteborg 9,12 c 1,5
    Goettingen 9,12 l,v e,n,z15
    Gokul 1,51 d 1,5
    Goldcoast 6,8 r l,w
    Goma 6,7 z4,z23 z6
    Gombe 6,7,14 d e,n,z15
    Good 21 f,g e,n,x
    Gori 17 z 1,2
    Goulfey 1,40 k 1,5
    Gouloumbo 35 c 1,5
    Goverdhan 9,12 k 1,6
    Gozo 28 e,h e,n,z15
    Grampian 6,7 r l,w
    126/166
    Grancanaria 16 z39 [1,6]
    Grandhaven 30 r 1,2
    Granlo 17 l,z28 e,n,x
    Graz 43 a 1,2
    Greiz 40 a z6
    Groenekan 18 d 1,5
    Grumpensis 1,13,23 d 1,7
    Guarapiranga 30 a e,n,x
    Guerin 9,46 e,h z6
    Gueuletapee 9,12 g,m,s –
    Guildford 28 k 1,2
    Guinea 1,44 z10 1,7
    Gustavia 11 d 1,5
    Gwale 1,42 k z6
    Gwoza 1,3,19 a e,n,z15
    H
    Haardt 8 k 1,5
    Hadar 6,8 z10 e,n,x
    Hadejia 17 y e,n,z15
    Haduna 4,12 l,z13,[z28] 1,6
    Haelsingborg 6,7 m,p,t,[u] –
    Haferbreite 42 k 1,6
    Haga 35 z38 –
    Haifa 1,4,[5],12 z10 1,2
    Halle 28 c 1,7
    Hallfold 1,4,12,27 c l,w
    Handen 1,13,23 d 1,2
    Hann 40 k e,n,x
    Hannover 16 a 1,2
    Haouaria 13,22 c e,n,x,z15
    Harburg [1],6,14,[25] k 1,5
    Harcourt 51 l,v 1,2
    Harleystreet 3,10 z 1,6
    127/166
    Harrisonburg 3,{10}{15}{15,34} z10 1,6
    Hartford 6,7 y e,n,x [z67]
    Harvestehude 1,42 y z6
    Hatfield 28 d 1,6
    Hato 1,4,[5],12 g,m,s [1,2]
    Havana 1,13,23 f,g,[s] – [z79]
    Hayindogo 1,3,19 e,h 1,6
    Heerlen 11 i 1,6
    Hegau 39 z10 –
    Heidelberg 1,4,[5],12 r 1,2
    Heistopdenberg 8,20 b l,w
    Hemingford 50 d 1,5 [z82]
    Hennekamp 42 z35 e,n,z15
    Hermannswerder 28 c 1,5
    Heron 16 a z6
    Herston 6,8 d e,n,z15
    Herzliya 11 y e,n,x
    Hessarek 4,12,[27] a 1,5
    Hidalgo 6,8 r,[i] e,n,z15
    Hiduddify 6,8 l,z13,z28 1,5
    Hillegersberg 9,46 z35 1,5
    Hillingdon 9,46 g,m –
    Hillsborough 6,7 z41 l,w
    Hilversum 30 k 1,2
    Hindmarsh 8,20 r 1,5
    Hisingen 48 a 1,5,7
    Hissar 6,7,14 c 1,2
    Hithergreen 16 c e,n,z15
    Hoboken 3,10 i l,w
    Hofit 39 i 1,5
    Hoghton 3,10 l,z13,z28 z6
    Hohentwiel 30 z e,n,x,z15
    Holcomb 6,8 l,v e,n,x
    Homosassa 1,6,14,25 z 1,5
    Honelis 28 a e,n,z15
    Hongkong 1,3,19 z z6
    Horsham 1,6,14,[25] l,v e,n,x
    Houston 9,12 l,v 1,5 d
    Huddinge 3,10 z 1,7
    Huettwilen 1,4,12 a l,w
    Hull 16 b 1,2
    128/166
    Huvudsta 3,{10}{15,34} b 1,7
    Hvittingfoss 16 b e,n,x
    Hydra 21 c 1,6
    I
    Ibadan 13,22 b 1,5
    Ibaragi 21 y 1,2
    Idikan 1,13,23 i 1,5
    Ikayi 3,{10}{15} c 1,6
    Ikeja 28 k 1,7
    Ilala 28 k 1,5
    Ilugun 1,3,10,19 z4,z23 z6
    Imo 45 l,v [e,n,z15]
    Inchpark 6,8 y 1,7
    India 9,46 l,v 1,5
    Indiana 1,4,12 z 1,7
    Infantis 6,7,14 r 1,5 [R1…],[z37],[z45],[z49]
    Inganda 6,7 z10 1,5
    Inglis 9,46 z10 e,n,x
    Inpraw 41 z10 e,n,x
    Inverness 38 k 1,6
    Ipeko 9,12 c 1,6
    Ipswich 41 z4,z24 1,5
    Irchel 9,46 y e,n,x
    Irenea 17 k 1,5
    Irigny 43 z38 –
    Irumu 6,7 l,v 1,5
    Isangi 6,7,14 d 1,5
    Isaszeg 48 z10 e,n,x
    Israel 9,12 e,h e,n,z15
    Istanbul 8 z10 e,n,x
    Istoria 1,6,14,25 r,i 1,5
    Isuge 13,23 d z6
    Itami 9,12 l,z13 1,5
    129/166
    Ituri 1,4,12 z10 1,5
    Itutaba 9,46 c z6
    Ivory 16 r 1,6
    Ivorycoast 50 z29 –
    Ivrysurseine 1,13,23 z z6
    J
    Jaffna 1,9,12 d z35
    Jalisco 11 y 1,7
    Jamaica 9,12 r 1,5
    Jambur 21 l,z28 e,n,z15
    Jangwani 17 a 1,5
    Javiana 1,9,12 l,z28 1,5 [R1…]
    Jedburgh 3,{10}{15} z29 –
    Jericho 1,4,12,27 c e,n,z15
    Jerusalem 6,7,14 z10 l,w
    Joal 3,10 l,z28 1,7
    Jodhpur 45 z29 – [z45]
    Johannesburg 1,40 b e,n,x
    Jos 1,4,12,27 y e,n,z15
    Juba 1,3,19 a 1,7
    Jubilee 17 e,h 1,2
    Jukestown 13,23 i e,n,z15
    K
    Kaapstad 4,12 e,h 1,7
    Kabete 51 i 1,5
    Kaduna 6,7,14 c e,n,z15
    130/166
    Kaevlinge 16 z4,z24 _
    Kahla 1,42 z35 1,6
    Kainji 1,3,19 z 1,6
    Kaitaan 1,6,14,25 m,t –
    Kalamu 1,4,[5],12 z4,z24 [1,5]
    Kalina 3,10 b 1,2
    Kallo 6,8 k 1,2
    Kalumburu 6,8 z e,n,z15
    Kambole 6,7 d 1,[2],7
    Kamoru 1,4,12,27 y z6
    Kampala 1,42 c z6
    Kande 1,3,19 b e,n,z15
    Kandla 17 z29 –
    Kaneshie 1,42 i l,w
    Kanifing 1,6,14,25 z 1,6
    Kano 1,4,12,27 l,z13,z28 e,n,x
    Kaolack 47 z 1,6
    Kapemba 9,12 l,v 1,7 [z40]
    Karachi 45 d e,n,x
    Karamoja 1,40 z41 1,2
    Karaya 51 b 1,5
    Karlshamn 17 d e,n,z15
    Kasenyi 38 e,h 1,5
    Kassberg 1,6,14,25 c 1,6
    Kassel 16 z e,n,x
    Kastrup 6,7 e,n,z15 1,6
    Kedougou 1,13,23 i l,w
    Kentucky 8,20 i z6
    Kenya 6,7 l,z13 e,n,x
    Kermel 44 d e,n,x
    Kethiabarny 28 z4,z24 –
    Keurmassar 35 c 1,2
    Keve 21 l,w –
    Kiambu 1,4,12 z 1,5
    Kibi 16 z4,z23 [1,6]
    Kibusi 28 r e,n,x
    Kidderminster 38 c 1,6 [z58]
    Kiel 1,2,12 g,p –
    Kikoma 16 y e,n,x
    Kimberley 38 l,v 1,5
    Kimpese 9,12 z 1,6
    131/166
    Kimuenza 1,4,12,27 l,v e,n,x
